Date,MARKIT CDX.NA.IG.37 12/26,AMD CDS USD SR 5Y D14 Corp,ALLY CDS USD SR 5Y D14 Corp,ALTRIA CDS USD SR 5Y D14 Corp,AEP CDS USD SR 5Y D14 Corp,AXPRS CDS USD SR 5Y D14 Corp,AIG CDS USD SR 5Y D14 Corp,AMGN CDS USD SR 5Y D14 Corp,ARW CDS USD SR 5Y D14 Corp,FSA AA CDS USD SR 5Y D14 Corp,SBC CDS USD SR 5Y D14 Corp,AZO CDS USD SR 5Y D14 Corp,AVT CDS USD SR 5Y D14 Corp,ABX CDS USD SR 5Y D14 Corp,BAX CDS USD SR 5Y D14 Corp,BERKSHIRE CDS USD SR 5Y D14 Corp,BBY CDS USD SR 5Y D14 Corp,BLOCK FIN CDS USD SR 5Y D14 Corp,BWA CDS USD SR 5Y D14 Corp,BSX CDS USD SR 5Y D14 Corp,BMY CDS USD SR 5Y D14 Corp,CPB CDS USD SR 5Y D14 Corp,CNQCN CDS USD SR 5Y D14 Corp,COFB CDS USD SR 5Y D14 Corp,CAH CDS USD SR 5Y D14 Corp,CAT I CDS USD SR 5Y D14 Corp,CB B CDS USD SR 5Y D14 Corp,CMCSAC CDS USD SR 5Y D14 Corp,CAG CDS USD SR 5Y D14 Corp,COPHIL CDS USD SR 5Y D14 Corp,COXENT CDS USD SR 5Y D14 Corp,CSX CDS USD SR 5Y D14 Corp,CVS CDS USD SR 5Y D14 Corp,DHI CDS USD SR 5Y D14 Corp,DANAHER CDS USD SR 5Y D14 Corp,DRI CDS USD SR 5Y D14 Corp,DE I CDS USD SR 5Y D14 Corp,DVNCORP CDS USD SR 5Y D14 Corp,DOMINION CDS USD SR 5Y D14 Corp,UFS CDS USD SR 5Y D14 Corp,DUK CAR CDS USD SR 5Y D14 Corp,DXC CDS USD SR 5Y D14 Corp,DD CDS USD SR 5Y D14 Corp,EMN CDS USD SR 5Y D14 Corp,ENBRIDGE INC CDS USD SR 5Y D14 Corp,EQR CDS USD SR 5Y D14 Corp,EXCC CDS USD SR 5Y D14 Corp,EXPE CDS USD SR 5Y D14 Corp,FDX CDS USD SR 5Y D14 Corp,GECO CDS USD SR 5Y D14 Corp,GIS CDS USD SR 5Y D14 Corp,GM CDS USD SR 5Y D14 Corp,HAL CDS USD SR 5Y D14 Corp,HES CDS USD SR 5Y D14 Corp,HON CDS USD SR 5Y D14 Corp,HST CDS USD SR 5Y D14 Corp,HPQ CDS USD SR 5Y D14 Corp,IBM CDS USD SR 5Y D14 Corp,AER CDS USD SR 5Y D14 Corp,PAPER CDS USD SR 5Y D14 Corp,JNJ CDS USD SR 5Y D14 Corp,KINDER MORGAN (KMI) CDS USD SR Corp,KSS CDS USD SR 5Y D14 Corp,LEN CDS USD SR 5Y D14 Corp,LNC CDS USD SR 5Y D14 Corp,LMT CDS USD SR 5Y D14 Corp,L CDS USD SR 5Y D14 Corp,LOW CDS USD SR 5Y D14 Corp,MDC CDS USD SR 5Y D14 Corp,MAR CDS USD SR 5Y D14 Corp,MMC CDS USD SR 5Y D14 Corp,MCD CDS USD SR 5Y D14 Corp,MCK CDS USD SR 5Y D14 Corp,MET CDS USD SR 5Y D14 Corp,KRAFT CDS USD SR 5Y D14 Corp,MSI CDS USD SR 5Y D14 Corp,NRUC CDS USD SR 5Y D14 Corp,NEWMONT CDS USD SR 5Y D14 Corp,FPL CDS USD SR 5Y D14 Corp,NSC CDS USD SR 5Y D14 Corp,NOC CDS USD SR 5Y D14 Corp,OMC CDS USD SR 5Y D14 Corp,ORCLCP CDS USD SR 5Y D14 Corp,PKG CDS USD SR 5Y D14 Corp,PFIZER CDS USD SR 5Y D14 Corp,PXD CDS USD SR 5Y D14 Corp,PRU CDS USD SR 5Y D14 Corp,PULTE CDS USD SR 5Y D14 Corp,DGX CDS USD SR 5Y D14 Corp,UTX CDS USD SR 5Y D14 Corp,RJ REYNOLDS CDS USD SR 5Y D14 Corp,R CDS USD SR 5Y D14 Corp,SRE CDS USD SR 5Y D14 Corp,SPG CDS USD SR 5Y D14 Corp,LUV CDS USD SR 5Y D14 Corp,TGT CDS USD SR 5Y D14 Corp,TCKBCN CDS USD SR 5Y D14 Corp,AESCORP CDS USD SR 5Y D14 Corp,ALL CDS USD SR 5Y D14 Corp,BA CO CDS USD SR 5Y D14 Corp,DOWCHEM CDS USD SR 5Y D14 Corp,HARTFORD CDS USD SR 5Y D14 Corp,HD CDS USD SR 5Y D14 Corp,KR CDS USD SR 5Y D14 Corp,PROCTER CDS USD SR 5Y D14 Corp,SHW CDS USD SR 5Y D14 Corp,SOCO CDS USD SR 5Y D14 Corp,WMB CDS USD SR 5Y D14 Corp,TRPCN CDS USD SR 5Y D14 Corp,TSN CDS USD SR 5Y D14 Corp,UNP CDS USD SR 5Y D14 Corp,UPS CDS USD SR 5Y D14 Corp,UNH CDS USD SR 5Y D14 Corp,VLO CDS USD SR 5Y D14 Corp,VZNEW CDS USD SR 5Y D14 Corp,PARA CDS USD SR 5Y D14 Corp,WMT CDS USD SR 5Y D14 Corp,MEADWESTVACO CDS USD SR 5Y D14 Corp,WY CDS USD SR 5Y D14 Corp,WHRCORP CDS USD SR 5Y D14 Corp,CSCO CDS USD SR 5Y D14 Corp
2014/1/1,#N/A,518.17,138.175,39.645,33.78,38.01,71.08,37.09,93.7,526.88,58.09,46.53,104.66,206.31,20.04,68.2,222.82,124.185,56.35,70.17,18.83,67.27,63.56,37.815,31.98,51.51,29.69,41.81,58.4,23.47,74.53,25.63,32.25,170.005,36.26,194.16,25.38,67.015,40.17,139.025,16.56,107.99,41.7,84.49,83.87,54.87,78.5,134.32,61.105,66.73,28.03,148.64,32.695,82.68,15.11,96.95,105.54,29.07,224.98,76.88,15.37,177.01,129.6,245.59,86.25,27.59,36.51,24.77,152.525,41.69,38.85,12.98,23.74,74.12,42.565,71.76,44.32,261.295,82.24,22.69,21.505,39.49,34.835,70.97,21.07,70.355,75.58,152.55,131.77,28.52,57.87,61.01,42.495,53.35,72.04,26.03,140.63,172.985,35.18,31.38,70.81,72.01,26.7,56.86,26.51,52.89,49.45,132.925,50.33,83.51,21.99,16.35,39.04,88.515,55.03,64.12,14.81,93.495,69.29,86.31,106.78
2014/1/2,63.344,527.345,142.25,41.27,33.8,37.17,68.68,37.09,89,534.01,57.17,46.53,99.69,202.19,20.04,68.89,222.82,127,54.285,70.17,18.83,67.27,62.12,37.92,31.98,51.51,28.25,42.78,55.2,23.3,73.52,29.32,32.25,169.42,36.26,194.16,25.38,67.85,40.18,140,17.125,102.74,44.02,85.83,80.23,55.02,77.5,132.98,62.665,66.73,28.03,150.16,33.14,81.91,15.11,98.5,100.35,27.2,222.49,77.92,15.37,177.395,129.6,201.5,83.18,27.59,35.67,24.77,157.645,41.02,38.33,12.98,23.74,74.83,40.5,64.25,44.7,255,82.24,28.9,20.5,33.16,34.5,70.96,21.07,71.835,74.18,155.8,131.77,28.17,57.67,61.01,42.19,52.69,72.04,26.03,140.32,177.93,34.99,31.38,71.58,71.83,26.7,56.86,26.51,53.99,48.05,132,48.54,83.51,24.09,16.35,39.04,88.845,45.86,62.51,14.81,94.835,70.51,86.31,108.795
2014/1/3,62.852,527.35,134.665,40,33.81,37.17,69.17,37.09,88.46,538,57.5,46.53,97.99,201.34,20.04,68.865,222.82,120.335,52,70.17,18.83,67.27,63.44,38.33,31.98,51.51,27.84,42.45,55.5,23.685,74.3,30.07,32.25,168.77,36.26,194.16,25.38,67.78,40.19,136.93,16.39,101.37,41.71,84.53,82.88,55.02,77.5,131.72,64.455,66.73,28.03,150,33.13,83.07,15.11,99.5,98.67,27.31,217.5,77.5,15.37,176.945,129.6,196.87,84.17,27.59,35.5,24.77,153.52,41.8,37.5,12.98,23.74,73.51,40.5,65.67,43.25,251.67,82.24,27.37,20.5,33.48,32.5,70.97,21.07,71.675,75.17,155,131.77,28.5,57,61.01,41.9,52.69,72.04,26.03,138.52,175.67,33.84,31.38,71.5,70.51,26.7,56.86,26.51,52.67,48.05,133.49,50.23,83.51,23.4,16.35,39.04,88.96,45.85,62.4,14.81,92.865,69.52,86.31,106.665
2014/1/6,63,521.27,128.15,42.19,33.7,37.33,68.17,37.09,87.97,534.01,58.49,43.69,98.33,198.04,20.04,67.675,221.92,120,52,70.17,18.83,69.01,62.12,37.5,31.98,51.51,27.5,42.12,54.65,24.14,72.36,30.12,30.86,166.505,36.26,195.3,25.38,69.5,40.34,139.695,17.81,100.86,42.04,84.34,81.88,55.18,77.5,132.31,62.94,66.73,27.69,149.33,33.5,83.23,14.87,97.27,97.34,26.62,213.665,77.58,15.37,176.95,128,195.29,83.84,27.59,35.17,26.28,155.705,41.35,37.17,13.69,23.74,73.17,40.84,65.57,49.11,244.87,82.24,27.39,20.65,34.47,33.275,71.02,21.07,71.645,74.84,154.58,131.77,26.65,57.5,61.01,41.25,52.19,72.04,26.52,137.05,179.995,32.84,31.38,70.17,70.17,26.36,57.34,26.69,52.34,48.05,134.52,50.19,84.67,23.4,16.35,39.04,89.16,46.18,61.84,14.86,92.5,69.85,84.74,110.165
2014/1/7,64.25,518.205,127.18,41.5,34.57,38.32,66.81,36.2,87.63,515.48,58.66,43.35,97.67,189.34,20.04,66.5,227.75,120,52.5,67.83,18.42,67.03,64.1,37.83,31.69,48.21,28,40.66,55.5,23.98,72.35,24.38,27.38,167.665,32.38,197.61,23.38,70.14,33.63,137.37,16.8,100.56,39.84,81.34,83.71,55.19,77.5,132.97,64.84,66.73,28.68,150.41,32.5,81.25,14.39,97.52,96.49,26.95,203.44,76.73,14.69,175.885,130.3,195.48,84.15,26.38,35.33,27.77,154.59,41.36,37.16,14.69,24.18,72.5,41.36,65.9,48.03,246.41,82.24,24.61,20.8,35.79,32.5,71.49,19.74,70.5,73.49,154.67,134.97,27.15,61.17,61.01,43.54,51.02,69.37,27.85,136.01,178,34.16,28.72,69.82,69.49,26.68,59.32,26.2,52.18,51.35,142.045,51.84,83.34,18.82,15.83,38.04,89.5,55.04,62.18,14.37,91.5,69.85,85.89,108.44
2014/1/8,65.01,524.33,127.99,44.86,32.48,38.17,66.32,36.2,87.63,484.52,60.5,43.35,97.67,198.65,20.04,65.48,227.75,116.43,55,67.83,18.42,67.03,69.86,38.325,31.69,48.21,28,41.16,57.17,24.47,72.35,31.84,27.38,168.83,32.38,197.61,23.38,76.18,36.96,140,19.645,100.56,43.16,84.16,83.71,55.19,79.5,132.97,65.35,66.73,28.68,150,33.15,81.25,14.39,98.645,98.5,29.34,210.51,79.5,14.69,179.04,130.3,194.16,81.18,26.38,33.68,27.77,157,41.36,35.52,14.69,24.18,73.33,43,71.2,47.81,255,82.24,27.85,22.35,37.86,33,71,19.74,73.5,71.52,160,134.97,27.5,63.2,61.01,44.18,51.02,69.37,27.85,141.68,178.77,32.26,28.72,68.95,68.19,26.68,59.32,26.2,52.85,51.35,140.66,51.84,83.34,22.85,15.83,38.04,92.18,56.87,63.18,14.37,95.575,70.99,85.89,112.305
2014/1/9,65,509.105,128.75,43.5,32.09,39.17,65.33,36.2,87.63,485.84,59.34,43.35,97.67,200.33,20.04,66.5,227.75,117.86,57,67.83,18.42,67.03,68.53,38.15,31.69,48.21,26.84,41.32,56.85,25.95,72.35,30.19,27.38,170,32.38,197.61,23.38,76.23,35.53,140.87,19,100.56,40.85,81.68,83.71,55.19,78.88,132.97,63.245,66.73,28.68,149.775,34.39,81.25,14.39,97.995,96.51,30.18,211,79.25,14.69,178.935,130.3,194.16,82.17,26.38,33.51,27.77,156.03,41.36,35.68,14.69,24.18,71.84,43.5,73.52,46.82,252.33,82.24,26.53,21.89,37.86,33.5,71.33,19.74,73.565,72.51,160.16,134.97,27.5,62.17,61.01,41.5,51.02,69.37,27.85,145,181.51,32.51,28.72,70.3,68.84,26.68,59.32,26.2,52.18,51.35,140,51.84,83.34,21.53,15.83,38.04,92.5,55.71,63.34,14.37,94.535,70.33,85.89,110.16
2014/1/10,63.813,496.79,123.5,44.265,34.12,37.75,67.96,36.87,89.82,456.34,61.66,44.02,100.02,195.85,20.68,66.83,235.64,114.26,57,66.14,18.96,71.5,70.12,38.015,32.22,47.19,28.19,41.29,55.65,26.01,70.84,29.94,27.71,164.575,30.84,198.64,24.87,77.01,40.95,142.235,18.04,101.32,41.51,82.5,83.47,56,78.85,131.33,63.65,66.73,27.52,150.17,34.52,83.24,14.6,98.675,94.19,29.29,205,80.84,13.06,178.845,139.32,198.06,82.67,27.09,32.32,25.96,157.92,42.19,38.01,13.53,28.33,73.67,42.71,66.58,50.34,247.51,82.24,27.69,22.28,36.26,33.32,70.72,18.05,75.115,75.16,160,135.66,27.5,62.76,60.35,44.42,51.66,70.03,29.02,147,175.6,35.01,29.38,71.84,71.66,26.35,63.49,26.53,52.84,51.35,138,50.24,80.68,22.85,17.37,39.03,92.5,59.51,62.52,13.38,96.38,71.16,86.74,110.03
2014/1/13,66.125,490.89,123.68,45.01,35.07,40.5,67.17,35.21,93.13,445.94,62.33,46,102.5,189.63,19.42,67.995,244.61,115,58.11,66.64,17.98,70.02,68.08,38.17,31.73,48.84,27.67,42.54,57.2,26.595,72.91,31.68,30.64,173,30.89,194.83,25.05,78.02,40.68,143.245,19.21,102.31,42.05,84.15,85.87,55.59,80.725,131.67,67,66.73,26.03,152.79,37.99,81.92,16.49,102.585,95.99,31,207.65,81.19,12.27,184.015,143.79,204.01,84.16,27.08,34.16,28.11,161,41.7,36.67,12.37,25.18,75.49,43.43,72.02,50.67,245,82.24,24.23,21.5,35.13,33.255,71.52,17.87,77.595,75.49,162,137.28,27.5,64.41,62.33,44.26,51.17,70.4,31.85,148.66,180,34.33,30.75,72,71.16,26.03,61.52,28.34,53.82,49.72,141.8,52,80.05,22.19,17.07,36.22,94.49,58.86,64.17,14.69,97.405,70.52,89.92,110
2014/1/14,64.75,484.38,117.5,45.5,33.82,38.02,66.99,35.84,91.81,443.58,63.98,46.84,104.15,189.44,19.7,66.845,249.78,114,58.52,64.63,19.88,72,72.84,40.375,31.2,47.49,27.99,43.34,55.5,26,72.5,27.82,29.36,170.56,31.16,198.48,24.86,80,36.63,140.12,18.585,101.98,42.83,83.82,85.38,55.85,79.5,132.16,63,66.73,27.36,148.335,37,82.91,15.44,100.605,96.17,32.98,205.6,79.26,12.11,179.175,149.97,202.12,83.66,27.36,33.83,28.77,161.33,44.67,36.17,11.38,23.7,75.82,42.83,73.18,51.33,247.67,83.3,28.19,21.5,37.11,33.335,72.35,18.96,77.5,74.34,162.33,135.16,27.5,64.5,61.32,40.93,50.51,70.69,33.01,150,177,34.33,26.42,72.17,70.67,27.84,63.34,25.7,53.49,48.05,140.68,53.49,81.33,20.85,16.98,36.22,93.17,59.69,65.66,14.79,92.72,72.66,88.24,110.045
