Date,ATHM,V,TSLA,VIS,AAPL,ABEV,CF,AIG,AMAT,AMD,AR,ATVI,AUY,AZN,BA,BAC,HF,HFC,BMY,C,CELG,CHTR,CLF,JAZZ,COP,COST,COTY,CTL,CVS,CX,CZR,DHI,EA,ELLI,EMR,ET,F,FB,FCX,FDX,FOXA,GE,GG,GGB,GOLD,GOOG,GRPN,HAL,HBAN,IBM,IBN,INFY,INTC,ITUB,JNJ,JPM,KGC,KMI,KO,LLY,MDLZ,MGM,LVS,MRVL,MS,MSFT,NFLX,NKE,NLY,NOK,NTAP,NVDA,ORCL,PBR-A,PFE,QCOM,RF,RIG,RTN,S,SBUX,SIRI,SIX,SLB,SO,SPG,SR,SWN,T,TEVA,TGT,TSM,TWTR,TXN,VZ,WFC,WMB,XOM,YELP,VLO
2014/2/18,35.82597,53.199341,203.699997,89.915695,68.972733,5.715869,34.519791,45.755302,17.41925,3.7,55.017555,19.175318,9.874361,24.167709,114.086906,15.374849,23.971111,37.228447,47.965946,46.686707,82.919998,131.5,21.569094,171.910004,56.498024,101.535805,12.760208,20.104424,63.406326,11.326156,22.959999,22.024855,28.4,29.959999,53.858463,15.328115,12.155173,67.300003,31.628538,127.729111,31.362751,21.517359,25.86676,5.80528,61.831779,601.527649,10.26,49.664894,7.882253,150.110153,5.305637,4.514893,21.46361,5.804026,80.382439,51.113369,5.17,27.479502,31.887819,48.085709,31.200966,25.078001,64.237808,14.402547,26.823917,33.431053,62.407143,35.136692,6.282763,6.214909,36.657822,17.020874,35.259548,10.728508,26.664858,63.435242,9.263986,37.550125,86.083351,8.2,33.45927,3.511071,29.530268,78.58551,33.151993,124.610985,38.167236,42.110001,25.126873,40.895947,48.102768,15.182836,58.18,38.63258,36.576538,39.911037,30.80472,78.703629,91.739998,42.936657
2014/2/19,35.994167,52.686302,193.639999,89.138504,67.883812,5.73288,36.264172,44.916264,17.326839,3.72,56.192242,18.925285,9.583664,24.704771,112.130569,15.122804,23.597292,37.204113,46.938671,45.561607,81.5,130.440002,20.838419,170.279999,56.178242,101.139748,12.688269,20.071945,63.207951,11.3518,22.65,21.883127,27.91,29.91,53.411045,15.032329,12.0446,68.059998,31.09421,126.343941,31.115873,21.307636,24.867218,5.82368,60.939346,597.285217,10.02,50.031887,7.699552,149.913513,5.213098,4.518664,21.238228,5.861916,79.920227,50.038483,5.01,27.023005,31.572939,50.557434,31.264835,24.980984,63.402424,14.43917,26.279455,33.511463,61.175713,34.954498,6.214098,6.164036,36.576607,17.249081,35.166687,10.710385,26.330292,63.577892,9.022784,37.859802,85.445831,8.16,33.165253,3.501263,30.896767,78.455429,32.863647,124.541,37.895584,42.849998,25.149845,41.854103,48.887573,15.157234,55.5,38.562363,37.01405,39.391911,30.77433,78.603218,90,42.733562
2014/2/20,34.886044,52.587467,209.970001,90.107704,67.098045,5.928513,36.75864,44.888901,17.548626,3.69,55.498985,18.877199,9.855605,25.02025,113.152397,15.216152,23.877655,37.041859,47.281097,45.504879,81.790001,131.839996,20.344978,170.289993,56.1091,101.271751,13.083935,20.214857,64.298973,11.454376,23.030001,22.043753,27.790001,31.290001,53.655865,14.975986,12.060396,69.629997,31.637905,127.921455,31.020914,21.256868,25.820047,5.952482,62.131821,598.16449,10.28,50.811775,7.786553,150.986923,5.267079,4.588043,21.446274,5.943963,80.56559,50.318134,5.28,27.088217,31.743145,50.522625,31.465612,26.028732,64.118446,14.768792,26.615208,33.72588,62.135715,35.309551,6.208377,6.197951,36.260746,17.857651,35.538136,10.791936,26.388838,63.728931,9.129987,38.027908,86.514351,8.27,33.269291,3.530685,30.788679,78.932327,33.042881,124.33889,38.269108,42.279999,25.402498,43.482178,48.298965,15.097493,56.630001,38.799381,38.278877,39.478432,31.914127,79.79126,91.370003,41.963512
2014/2/21,34.994877,52.563938,209.600006,90.080269,66.352722,5.962536,37.080666,44.670025,17.650284,3.69,55.017555,18.963749,9.789963,25.016493,112.0345,15.206819,23.807566,37.423153,47.535717,45.627785,80.485001,125.080002,20.847908,170.029999,55.901672,99.625839,13.011995,20.195364,64.199799,11.317608,23.5,22.346107,28,30.530001,53.537663,15.127398,11.973516,68.589996,31.272322,129.758636,31.277287,21.104544,25.782684,5.89728,62.247234,598.005554,8.03,50.738361,7.925753,149.782425,5.305637,4.58578,21.168877,5.989546,80.389908,50.344349,5.24,26.925186,31.641022,50.444298,31.30135,26.242159,64.357132,14.283516,26.878365,33.931362,61.747143,35.730011,6.145433,6.325132,35.999023,17.724525,35.380268,10.955039,26.31356,63.443645,9.147852,38.169476,86.738823,8.29,32.821472,3.540493,30.858175,78.099915,33.003922,124.058945,38.464371,42.810001,25.111568,43.70771,47.974815,15.140164,55.919998,38.755493,37.602715,39.45248,31.959721,79.506798,91.82,42.505081
2014/2/24,34.084637,53.229931,217.649994,90.784317,66.643288,5.979546,37.053185,45.09866,17.622553,3.71,56.105583,18.934902,9.733699,25.557312,113.178612,15.43086,24.228113,38.445332,47.684986,46.308525,82.044998,123.580002,20.250086,171.75,57.405518,100.285957,13.209828,20.260321,64.353081,11.309059,24.68,22.402802,27.959999,31.389999,54.297432,15.328115,11.989315,70.779999,31.131704,129.729782,31.49568,21.400719,25.810707,5.970882,62.416477,602.337402,7.78,51.720116,8.064955,150.323257,5.344197,4.603879,21.350916,6.03513,80.029785,50.71138,5.27,26.16707,31.913342,50.505222,31.392607,27.008568,67.157707,14.11871,27.504499,33.672268,63.857143,36.365383,6.168323,6.460792,36.179531,17.981266,35.417419,11.172508,26.756863,63.292599,9.326523,38.8596,88.193466,8.4,32.821472,3.520878,31.178469,80.397736,32.824684,124.331093,38.320061,43.290001,24.858921,43.482178,47.889507,15.097493,55.779999,39.018822,36.775414,39.867779,31.739365,80.686485,94.669998,43.08897
2014/2/25,35.746819,53.446445,248,90.345428,65.949753,5.97104,37.074551,44.69738,17.576345,3.69,56.432957,18.71372,9.66806,25.45966,110.72448,15.253495,24.30599,39.110554,47.131836,45.760162,82.169998,121.339996,19.282183,174.979996,57.491947,101.623802,13.335723,20.227844,65.065407,11.069715,25.360001,22.809095,28.1,31.040001,54.491592,15.314027,11.965618,69.849998,30.719236,127.777184,31.514673,21.383795,25.455729,5.906482,61.862564,606.058167,8.41,50.995289,8.082354,150.142944,5.35345,4.582009,21.342245,6.016896,80.029785,49.837502,5.19,26.81106,32.143127,50.896866,30.981945,26.717529,66.266617,13.834868,26.960037,33.538261,64.718575,36.491528,6.219821,6.477749,35.962929,17.900072,35.519566,10.927856,26.673218,62.856281,9.335456,38.417213,86.900452,8.27,31.912275,3.511071,31.233145,80.259003,32.863647,123.903488,38.345516,42.790001,24.629236,43.599449,48.205135,15.03775,54.959999,39.036377,36.823139,39.867779,31.56459,80.577713,94.699997,44.079025
2014/2/26,37.93338,53.211098,253,90.628891,65.354752,6.022076,37.280579,44.432903,17.650284,3.7,56.404072,18.694489,9.621172,25.463417,110.575989,15.244163,24.664232,38.185726,47.035248,45.684513,79.989998,121.25,18.798229,162.059998,57.154877,101.993484,13.308746,20.006985,65.101471,11.197935,25.459999,23.479954,28.27,31.23,55.065632,15.500659,12.052499,69.260002,31.319181,127.325089,31.172848,21.40918,25.324945,5.851279,61.893318,606.142639,8.26,50.609924,8.134557,150.823029,5.348824,4.615191,21.498283,5.98043,80.029785,49.592808,5.15,26.224131,32.228226,51.053524,30.954575,26.669018,66.163185,13.990523,27.168745,33.475723,64.112854,36.636341,6.385758,6.46927,36.350986,17.871416,35.751713,10.565405,26.756863,62.973778,9.397989,38.054451,86.720879,8.39,32.468655,3.501263,31.506571,80.076904,32.731163,125.225266,38.464371,42.529999,24.49909,43.446091,51.60022,15.216974,55.869999,39.176826,36.870869,39.84182,31.321434,80.142639,95.449997,42.919735
2014/2/27,42.751728,53.25111,252.539993,91.168335,66.658447,6.149662,38.00856,44.970982,17.567108,3.71,58.416439,18.800268,9.51802,25.681244,112.27906,15.393518,24.952385,36.993179,47.3689,46.034344,80.834999,124.139999,19.320137,166.619995,57.258602,102.29274,13.227814,20.188869,65.065407,11.274867,25.940001,23.498848,28.540001,31.209999,55.082512,15.440796,12.155173,68.940002,31.375435,128.460129,31.372238,21.578424,25.287586,5.89728,61.531738,605.66571,8.52,51.096203,8.195457,151.81459,5.436737,4.650634,21.46361,6.167318,80.249374,49.540375,5.17,25.979584,32.398438,51.81942,30.890686,27.027967,67.730545,14.027145,27.549873,33.824146,64.604286,36.561371,6.39148,6.520143,36.657822,17.670834,36.169598,11.018467,26.957598,63.091228,9.442655,37.647449,87.627769,8.65,32.654114,3.540493,31.662817,80.267693,32.738953,124.696533,38.421913,43.139999,24.675177,44.465485,51.745239,15.370597,55.77,39.308506,37.785675,39.84182,31.35183,80.184471,97.389999,41.049606
2014/2/28,40.76305,53.171089,244.809998,91.342056,66.477783,6.124145,38.290886,45.390507,17.520903,3.71,58.098698,18.607941,9.414868,25.448393,112.593452,15.43086,24.843355,36.968845,47.21085,45.977608,80.375,126.769997,19.006992,151.949997,57.474663,102.80323,13.353708,20.305796,65.949066,11.180839,25.959999,23.205938,28.59,31,55.09095,15.370369,12.155173,68.459999,30.57863,128.248474,31.84701,21.553036,25.156805,5.750079,60.808563,603.897217,8.31,52.298138,8.291155,151.732605,5.503057,4.650634,21.46361,6.071594,80.916939,49.65398,5.22,25.963276,32.509064,51.880329,31.054949,26.727228,67.826027,13.999676,27.949142,34.226189,63.66143,36.692577,6.397203,6.426877,36.4683,17.556208,36.318165,10.565405,26.857235,63.17514,9.50519,37.51474,87.915115,8.74,32.097744,3.540493,31.873751,80.640526,33.003922,125.404083,38.922775,41.34,24.445496,45.006767,53.348953,15.421802,54.91,39.466507,37.849323,40.161934,31.382217,80.544235,94.419998,40.60112
2014/3/3,40.941139,52.112091,250.559998,90.638008,66.669823,6.022076,39.049385,45.09866,17.289881,3.67,57.280273,18.771421,9.527398,25.125404,111.982117,15.216152,24.796627,36.812996,46.965012,45.013248,80.139999,125.690002,18.551508,156.320007,57.310452,101.879059,13.40766,20.208355,65.45314,10.830369,25.59,22.950823,28.09,30.459999,54.32275,15.842225,12.00511,67.410004,30.775486,128.296585,31.391232,21.256868,25.521122,5.602877,63.40892,597.459106,8.45,51.865784,8.282455,150.986923,5.459871,4.519419,21.238228,5.885443,80.425034,49.120911,5.19,25.792089,32.440979,51.375553,30.84506,26.775736,68.398842,14.127866,27.459126,33.752682,63.655716,36.266148,6.437257,6.435356,36.54953,17.47024,35.760998,10.329812,26.748499,62.070778,9.406923,36.868843,88.175484,8.83,31.876099,3.501263,31.717505,79.13176,32.770123,125.909447,38.922775,40.709999,24.391905,44.014427,52.854187,15.387664,53.709999,39.132946,37.634537,39.928341,31.640579,79.90004,94.970001,40.914219
